ScrollToFixed, , MIT
actionmailer, 4.1.0, MIT
actionpack, 4.1.0, MIT
actionview, 4.1.0, MIT
active_model_serializers, 0.8.1, MIT
activemodel, 4.1.0, MIT
activerecord, 4.1.0, MIT
activesupport, 4.1.0, MIT
acts_as_list, 0.4.0, MIT
addressable, 2.3.5, Apache License 2.0
arel, 5.0.1.20140414130214, MIT
barber, 0.4.2, MIT
bcrypt-ruby, 3.1.2, MIT
binding_of_caller, 0.7.2, MIT
bootstrap-sass, 3.0.2.1, Apache 2.0
bourbon, 3.1.8, MIT
builder, 3.2.2, MIT
bullet, 4.8.0, MIT
bundler, 1.5.3, MIT
byebug, 2.7.0, BSD
capybara, 2.2.1, MIT
capybara-webkit, 1.1.0, MIT
carrierwave, 0.9.0, MIT
childprocess, 0.5.2, MIT
chosen-rails, 1.1.0, MIT
chunky_png, 1.3.0, MIT
codeclimate-test-reporter, 0.3.0, MIT
coderay, 1.1.0, MIT
coffee-rails, 4.0.1, MIT
coffee-script, 2.2.0, MIT
coffee-script-source, 1.7.0, MIT
columnize, 0.3.6, Ruby
compass, 0.12.5, MIT
compass-rails, 1.1.7, MIT
crack, 0.4.2, MIT
daemons, 1.1.9, MIT
database_cleaner, 1.2.0, MIT
debug_inspector, 0.0.2, MIT
debugger-linecache, 1.2.0, MIT
devise, 3.2.2, MIT
diff-lcs, 1.2.5, MIT
docile, 1.1.3, MIT
ember-data-source, 1.0.0.beta.7, MIT
ember-rails, 0.14.1, MIT
ember-source, 1.5.0, MIT
erubis, 2.7.0, MIT
eventmachine, 1.0.3, other
excon, 0.28.0, MIT
execjs, 2.0.2, MIT
factory_girl, 4.4.0, MIT
factory_girl_rails, 4.4.0, MIT
ffi, 1.9.3, BSD
fog, 1.18.0, MIT
font-awesome-rails, 4.0.3.1, MIT
formatador, 0.2.4, MIT
fssm, 0.2.10, MIT
gepub, 0.6.9.2, New BSD
haml, 4.0.5, MIT
haml-rails, 0.5.3, MIT
handlebars-source, 1.3.0, other
heroku-deflater, 0.5.3, MIT
hike, 1.2.3, MIT
httparty, 0.12.0, MIT
i18n, 0.6.9, MIT
jquery-fileupload-rails, 0.4.1, MIT
jquery-rails, 3.1.0, MIT
jquery-ui-rails, 4.2.0, MIT
json, 1.8.1, other
kaminari, 0.15.1, MIT
kgio, 2.8.1, LGPL
launchy, 2.4.2, ISC
license_finder, 0.9.3, MIT
mail, 2.5.4, MIT
method_source, 0.8.2, MIT
mime-types, 1.25.1, MIT
mini_magick, 3.7.0, MIT
mini_portile, 0.5.3, MIT
minitest, 5.3.3, MIT
multi_json, 1.9.2, MIT
multi_xml, 0.5.5, MIT
nested_form, 0.3.2, MIT
net-scp, 1.1.2, MIT
net-ssh, 2.7.0, MIT
netrc, 0.7.7, MIT
newrelic_rpm, 3.7.2.195, MIT
nokogiri, 1.6.1, MIT
orm_adapter, 0.5.0, MIT
pdfkit, 0.6.2, MIT
pg, 0.17.0, BSD
phantomjs, 1.9.7.0, MIT
polyglot, 0.3.4, MIT
pry, 0.9.12.4, MIT
pry-byebug, 1.3.2, MIT
pry-rails, 0.3.2, MIT
pry-stack_explorer, 0.4.9.1, MIT
rack, 1.5.2, MIT
rack-pjax, 0.7.0, MIT
rack-protection, 1.5.3, MIT
rack-test, 0.6.2, MIT
railroady, 1.1.1, GPLv2
rails, 4.1.0, MIT
rails_12factor, 0.0.2, BSD
rails_admin, 0.6.1, MIT
rails_serve_static_assets, 0.0.1, New BSD
rails_stdout_logging, 0.0.3, MIT
railties, 4.1.0, MIT
raindrops, 0.12.0, LGPL
rake, 10.3.0, MIT
rdoc, 3.12.2, GPLv2
remotipart, 1.2.1, MIT
rest_client, 1.7.3, MIT
rspec-collection_matchers, 0.0.3, MIT
rspec-core, 3.0.0.beta2, MIT
rspec-expectations, 3.0.0.beta2, MIT
rspec-its, 1.0.0.pre, MIT
rspec-mocks, 3.0.0.beta2, MIT
rspec-rails, 3.0.0.beta2, MIT
rspec-support, 3.0.0.beta2, MIT
ruby-hmac, 0.4.0, MIT
rubyzip, 1.1.2, ruby
safe_yaml, 1.0.1, MIT
sass, 3.2.19, MIT
sass-rails, 4.0.3, MIT
sdoc, 0.3.20, MIT
selenium-webdriver, 2.41.0, Apache 2.0
sequel, 4.5.0, MIT
simplecov, 0.8.2, MIT
simplecov-html, 0.8.0, MIT
sinatra, 1.4.5, MIT
slop, 3.4.7, MIT
spring, 1.1.2, MIT
sprockets, 2.11.0, MIT
sprockets-rails, 2.1.3, MIT
sqlite3, 1.3.8, MIT
standard_tasks, 0.0.1, TBD
subexec, 0.2.3, MIT
teaspoon, 0.7.9, MIT
thin, 1.6.2, Ruby
thor, 0.19.1, MIT
thread_safe, 0.3.3, Apache-2.0
tika, 1.4, Apache 2.0
tilt, 1.4.1, MIT
treetop, 1.4.15, MIT
tzinfo, 1.1.0, MIT
uglifier, 2.5.0, MIT
unf, 0.1.3, 2-clause BSDL
unf_ext, 0.0.6, MIT
unicorn, 4.7.0, GPLv2+
uniform_notifier, 1.4.0, MIT
vcr, 2.9.0, MIT
warden, 1.2.3, MIT
webmock, 1.17.4, MIT
websocket, 1.0.7, MIT
xpath, 2.0.0, MIT
